288 756 289
557 556 654
556 654 653
157 41 156
42 157 41
550 549 650
172 173 376
58 844 59
180 758 181
278 743 744
745 744 373
744 373 372
734 266 733
752 287 286
748 747 373
658 314 657
657 562 658
287 289 288
836 40 835
41 836 40
44 838 45
547 648 649
649 548 547
150 33 149
33 149 32
770 648 649
626 739 279
279 627 626
655 656 558
749 284 750
284 750 285
162 164 163
737 736 436
39 835 40
481 562 563
735 267 266
267 266 734
746 745 373
282 627 628
628 283 282
139 140 439
752 286 750
673 578 672
237 235 236
135 134 437
273 738 272
739 273 738
655 311 656
36 35 152
152 37 36
706 707 608
851 72 852
832 884 885
831 832 884
742 372 743
371 742 372
285 628 629
629 286 285
153 37 152
545 647 648
648 546 545
837 41 836
42 837 41
737 270 736
151 35 152
131 436 132
437 135 136
136 438 437
244 708 707
245 244 708
24 25 137
25 137 138
841 885 840
846 63 64
61 60 536
477 476 555
556 555 653
852 72 853
72 853 73
547 546 648
654 653 309
157 159 374
185 186 538
538 537 185
420 599 600
551 650 651
651 552 551
72 71 851
478 557 558
645 767 646
767 646 768
654 309 310
882 828 827
802 418 803
418 803 96
861 81 860
322 666 665
666 665 571
733 266 265
111 0 112
159 160 374
105 425 104
103 101 102
483 564 565
241 344 240
233 696 695
695 232 233
4 3 0
149 148 147
147 372 149
605 423 606
110 825 111
304 351 305
351 305 350
769 646 768
647 769 646
375 165 166
725 616 724
725 352 726
735 736 267
597 418 419
800 416 801
268 734 735
114 8 9
126 125 434
561 562 657
349 348 306
306 305 349
686 592 685
754 288 753
297 299 631
757 290 289
289 756 757
759 181 758
426 107 106
766 299 300
695 694 232
97 96 419
419 98 97
96 419 418
825 111 826
714 612 715
332 331 683
683 684 332
796 865 797
555 554 653
554 653 652
230 231 336
231 336 337
481 561 562
94 93 801
690 596 689
854 853 74
853 74 73
348 347 306
653 652 308
308 652 307
370 369 740
369 740 739
659 315 314
314 658 659
343 239 342
701 702 604
188 189 645
645 644 188
643 642 765
765 766 643
560 657 561
655 557 654
558 655 557
885 838 839
651 652 553
553 552 651
479 480 559
480 559 560
859 79 78
78 858 859
652 651 307
591 590 799
799 416 591
313 657 312
652 554 553
642 764 765
650 305 304
654 310 311
548 649 650
650 549 548
551 550 650
767 300 766
64 846 847
556 477 555
562 659 658
650 651 307
553 552 72
72 73 553
73 553 476
650 304 649
548 69 68
549 548 69
555 476 554
68 548 547
74 858 75
567 662 568
554 476 553
68 547 546
564 563 659
303 649 304
656 311 312
479 859 478
556 557 477
557 477 478
479 559 558
479 478 558
657 312 656
559 656 560
656 560 657
559 558 656
744 743 372
654 311 655
249 712 711
660 316 315
315 659 660
314 657 313
769 768 302
177 59 58
738 739 626
653 308 309
650 306 305
647 648 769
650 307 306
648 770 769
303 302 769
303 770 649
770 303 769
117 116 430
747 746 373
643 642 186
642 186 764
71 851 70
851 70 850
766 644 643
764 186 185
185 763 764
186 643 187
767 766 644
187 188 644
644 643 187
68 67 546
67 546 545
189 645 646
766 299 298
180 534 179
854 78 77
77 75 854
761 183 760
183 760 182
543 65 64
544 543 65
541 64 63
542 541 64
78 858 77
763 762 185
765 766 298
645 644 767
70 69 549
549 550 70
881 880 825
628 285 284
750 749 374
181 759 182
373 374 748
300 301 302
764 765 298
758 757 291
291 292 758
754 753 376
768 301 302
301 768 767
758 292 759
289 631 290
247 711 710
248 247 711
301 767 300
293 292 759
761 184 762
184 762 185
709 708 245
53 51 52
741 740 370
269 267 268
295 294 631
294 631 293
759 182 760
297 298 764
299 355 631
297 299 298
427 611 612
764 295 296
183 761 184
180 758 179
290 291 757
739 738 369
738 369 368
371 741 370
429 615 614
251 252 250
713 611 714
714 713 250
713 250 249
286 287 289
280 279 627
288 755 756
288 754 755
631 293 292
288 753 287
753 287 752
631 295 296
296 631 297
281 280 627
736 268 269
269 267 736
284 749 283
631 290 291
757 179 758
764 763 295
296 297 764
760 759 293
629 630 356
277 278 276
278 276 738
737 272 738
646 544 543
295 763 762
293 761 294
761 294 762
760 293 761
840 885 839
157 373 374
829 830 884
